codigo;familia;descripcion;talla;ean
1;COMCORB;COR SEDA BAS;UNICO;1111111111499
2;COMPAÑB;PAÑ BAS;UNICO;1111111112038
3;COMTIRB;TIR BAS;UNICO;1111111113073
4;SUPFUN;FUNDA;UNICO;1111112024132
5;SUPPER;PERCHA;UNICO;1111112025306
6;COMPAJB;PAJ BAS;UNICO;1111111114124
7;COMFAJB;FAJ BAS;2-S;1111111115176
7;COMFAJB;FAJ BAS;3-M;1111111115213
7;COMFAJB;FAJ BAS;UNICO;1111111115275
7;COMFAJB;FAJ BAS;4-L;1111111115312
7;COMFAJB;FAJ BAS;5-XL;1111111115398
7;COMFAJB;FAJ BAS;1-XS;1111111117262
7;COMFAJB;FAJ BAS;6-XXL;1111111117187
8;COMGEM;GEMELOS;UNICO;1111111116456
9;COMPAÑF;PAÑ FAN;UNICO;1111111117484
10;COMCORI;COR I NIÑO;UNICO;1111111110157
11;COMCALC;CAL9000BNEG;UNICO;1111111111451
11;COMCALC;CAL9000BNEG;40;8433669011414
11;COMCALC;CAL9000BNEG;42;8433669011438
11;COMCALC;CAL9000BNEG;44;8433669011452
12;COMCALC;CAL3000-6HILVAR;UNICO;1111111112212
13;COMFAJF;FAJ FAN;UNICO;1111111113257
14;COMPAJF;PAJARITA 690/1 PIQUE;UNICO;1111111114285
15;COMFAJP;CONJUNTO FAJIN Y PAJARITA;UNICO;1111111115343
16;COMCHI;CHISTERA;56;1111111118528
16;COMCHI;CHISTERA;58;1111111118559
16;COMCHI;CHISTERA;59;1111111118580
16;COMCHI;CHISTERA;60;1111111118092
17;COMCAP;CAPA NEG;UNICO;1111111119136
100;CHQHFSMC999;CHQ C 999/3 NEG;42;1111111100387
100;CHQHFSMC999;CHQ C 999/3 NEG;44;1111111100417
100;CHQHFSMC999;CHQ C 999/3 NEG;46;1111111100455
100;CHQHFSMC999;CHQ C 999/3 NEG;48;1111111100493
100;CHQHFSMC999;CHQ C 999/3 NEG;50;1111111100523
100;CHQHFSMC999;CHQ C 999/3 NEG;52;1111111100561
100;CHQHFSMC999;CHQ C 999/3 NEG;54;1111111100004
100;CHQHFSMC999;CHQ C 999/3 NEG;56;1111111100042
100;CHQHFSMC999;CHQ C 999/3 NEG;58;1111111100080
100;CHQHFSMC999;CHQ C 999/3 NEG;60;1111111100127
100;CHQHFSMC999;CHQ C 999/3 NEG;62;1111111100165
100;CHQHFSMC999;CHQ C 999/3 NEG;64;1111111100202
100;CHQHFSMC999;CHQ C 999/3 NEG;66;1111111100233
100;CHQHFSMC999;CHQ C 999/3 NEG;68;1111111100264
100;CHQHFSMC999;CHQ C 999/3 NEG;70;1111111100301
100;CHQHFSMC999;CHQ C 999/3 NEG;72;1111111100356
100;CHQHFSMC999;CHQ C 999/3 NEG;74;1111111100400
100;CHQHFSMC999;CHQ C 999/3 NEG;76;1111111100462
100;CHQHFSMC999;CHQ C 999/3 NEG;78;1111111100585
100;CHQHFSMC999;CHQ C 999/3 NEG;80;1111111100035
101;CHQHFSMN999;CHQ N 999/3 NEG;42;1111111101490
101;CHQHFSMN999;CHQ N 999/3 NEG;44;1111111101520
101;CHQHFSMN999;CHQ N 999/3 NEG;46;1111111101568
101;CHQHFSMN999;CHQ N 999/3 NEG;48;1111111101599
101;CHQHFSMN999;CHQ N 999/3 NEG;50;1111111101049
101;CHQHFSMN999;CHQ N 999/3 NEG;52;1111111101094
101;CHQHFSMN999;CHQ N 999/3 NEG;54;1111111101148
101;CHQHFSMN999;CHQ N 999/3 NEG;56;1111111101193
101;CHQHFSMN999;CHQ N 999/3 NEG;58;1111111101223
101;CHQHFSMN999;CHQ N 999/3 NEG;60;1111111101261
101;CHQHFSMN999;CHQ N 999/3 NEG;62;1111111101315
101;CHQHFSMN999;CHQ N 999/3 NEG;64;1111111101360
101;CHQHFSMN999;CHQ N 999/3 NEG;66;1111111101407
101;CHQHFSMN999;CHQ N 999/3 NEG;68;1111111101506
101;CHQHFSMN999;CHQ N 999/3 NEG;70;1111111101544
101;CHQHFSMN999;CHQ N 999/3 NEG;72;1111111101032
101;CHQHFSMN999;CHQ N 999/3 NEG;74;1111111101087
101;CHQHFSMN999;CHQ N 999/3 NEG;76;1111111101124
101;CHQHFSMN999;CHQ N 999/3 NEG;78;1111111101162
101;CHQHFSMN999;CHQ N 999/3 NEG;80;1111111101209
102;CHQHFSMN800;CHQ N 800/1 TIN;42;1111111102428
102;CHQHFSMN800;CHQ N 800/1 TIN;44;1111111102459
102;CHQHFSMN800;CHQ N 800/1 TIN;46;1111111102497
102;CHQHFSMN800;CHQ N 800/1 TIN;48;1111111102527
102;CHQHFSMN800;CHQ N 800/1 TIN;50;1111111102558
102;CHQHFSMN800;CHQ N 800/1 TIN;52;1111111102015
102;CHQHFSMN800;CHQ N 800/1 TIN;54;1111111102053
102;CHQHFSMN800;CHQ N 800/1 TIN;56;1111111102084
102;CHQHFSMN800;CHQ N 800/1 TIN;58;1111111102138
102;CHQHFSMN800;CHQ N 800/1 TIN;60;1111111102176
102;CHQHFSMN800;CHQ N 800/1 TIN;62;1111111102237
102;CHQHFSMN800;CHQ N 800/1 TIN;64;1111111102596
103;CHQHFSMN800;CHQ N 800/2 MRG;42;1111111103326
103;CHQHFSMN800;CHQ N 800/2 MRG;44;1111111103357
103;CHQHFSMN800;CHQ N 800/2 MRG;46;1111111103395
103;CHQHFSMN800;CHQ N 800/2 MRG;48;1111111103425
103;CHQHFSMN800;CHQ N 800/2 MRG;50;1111111103456
103;CHQHFSMN800;CHQ N 800/2 MRG;52;1111111103494
103;CHQHFSMN800;CHQ N 800/2 MRG;54;1111111103524
103;CHQHFSMN800;CHQ N 800/2 MRG;56;1111111103562
103;CHQHFSMN800;CHQ N 800/2 MRG;58;1111111103005
104;CHQHFSMN800;CHQ N 800/3 NEG;42;1111111104095
104;CHQHFSMN800;CHQ N 800/3 NEG;44;1111111104132
104;CHQHFSMN800;CHQ N 800/3 NEG;46;1111111104163
104;CHQHFSMN800;CHQ N 800/3 NEG;48;1111111104200
104;CHQHFSMN800;CHQ N 800/3 NEG;50;1111111104231
104;CHQHFSMN800;CHQ N 800/3 NEG;52;1111111104279
104;CHQHFSMN800;CHQ N 800/3 NEG;54;1111111104309
104;CHQHFSMN800;CHQ N 800/3 NEG;56;1111111104347
104;CHQHFSMN800;CHQ N 800/3 NEG;58;1111111104385
